x,y,f
0.223958,0.067708,0.658848
0.234375,0.067708,0.941876
0.244792,0.067708,1.224905
0.255208,0.067708,1.354170
0.265625,0.067708,1.329671
0.276042,0.067708,1.305172
0.286458,0.067708,1.280673
0.296875,0.067708,1.256174
0.307292,0.067708,1.231675
0.317708,0.067708,1.207175
0.328125,0.067708,1.182676
0.338542,0.067708,1.158177
0.348958,0.067708,1.133678
0.359375,0.067708,1.109179
0.369792,0.067708,1.084680
0.380208,0.067708,1.060181
0.390625,0.067708,1.035681
0.401042,0.067708,1.011182
0.411458,0.067708,0.986683
0.421875,0.067708,0.962184
0.432292,0.067708,0.937685
0.442708,0.067708,0.913186
0.453125,0.067708,0.888687
0.463542,0.067708,0.864188
0.473958,0.067708,0.839688
0.484375,0.067708,0.815189
0.494792,0.067708,0.790690
0.505208,0.067708,0.752937
0.515625,0.067708,0.701930
0.526042,0.067708,0.650924
0.536458,0.067708,0.599917
0.546875,0.067708,0.548910
0.557292,0.067708,0.497904
0.567708,0.067708,0.446897
0.578125,0.067708,0.395890
0.588542,0.067708,0.344883
0.598958,0.067708,0.293877
0.609375,0.067708,0.242870
0.619792,0.067708,0.191863
0.630208,0.067708,0.140856
0.640625,0.067708,0.089850
0.651042,0.067708,0.038843
0.661458,0.067708,-0.012164
0.671875,0.067708,-0.063171
0.682292,0.067708,-0.114177
0.692708,0.067708,-0.165184
0.703125,0.067708,-0.216191
0.713542,0.067708,-0.267197
0.723958,0.067708,-0.318204
0.734375,0.067708,-0.369211
0.744792,0.067708,-0.420218
0.755208,0.067708,-0.471224
0.765625,0.067708,-0.522231
0.776042,0.067708,-0.573238
0.786458,0.067708,-0.624245
0.796875,0.067708,-0.675251
0.807292,0.067708,-0.726258
0.817708,0.067708,-0.777265
0.828125,0.067708,-0.828272
0.838542,0.067708,-0.879278
0.848958,0.067708,-0.930285
0.859375,0.067708,-0.981292
0.869792,0.067708,-1.032299
0.880208,0.067708,-1.083305
0.890625,0.067708,-1.134312
0.901042,0.067708,-1.185319
0.911458,0.067708,-1.236325
0.921875,0.067708,-1.287332
0.932292,0.067708,-1.338339
0.942708,0.067708,-1.389346
0.953125,0.067708,-1.440352
0.963542,0.067708,-1.491359
0.973958,0.067708,-1.542366
0.984375,0.067708,-1.593373
0.994792,0.067708,-1.644379
0.005208,0.078125,-4.003884
0.015625,0.078125,-3.829432
0.026042,0.078125,-3.654981
0.036458,0.078125,-3.480529
0.046875,0.078125,-3.306077
0.057292,0.078125,-3.131625
0.067708,0.078125,-2.957174
0.078125,0.078125,-2.782722
0.088542,0.078125,-2.608270
0.098958,0.078125,-2.433818
0.109375,0.078125,-2.259367
0.119792,0.078125,-2.084915
0.130208,0.078125,-1.856551
0.140625,0.078125,-1.574274
0.151042,0.078125,-1.291998
0.161458,0.078125,-1.009721
