wala,wac,n0,k_term
188.0,4.797,39,0
187.0,4.392,101,0
188.0,4.824,94,1
187.0,4.418,32,0
188.0,4.819,47,1
186.0,4.385,102,0
187.0,4.793,70,1
187.0,4.801,36,0
186.0,4.356,177,2
187.0,4.795,91,1
186.0,4.369,58,1
187.0,4.806,47,0
185.0,4.35,118,0
185.0,4.801,71,2
185.0,4.413,34,0
186.0,4.779,46,0
185.0,4.353,167,2
185.0,4.798,102,0
185.0,4.327,47,0
186.0,4.8,51,2
184.0,4.815,101,0
184.0,4.801,47,0
184.0,4.815,141,1
185.0,4.798,51,0
183.0,4.841,129,1
183.0,5.28,29,0
183.0,4.9,43,0
183.0,4.819,185,2
183.0,5.287,31,0
183.0,4.834,57,1
182.0,4.924,66,0
182.0,4.903,30,0
183.0,4.816,44,1
182.0,5.269,44,0
182.0,5.257,38,0
182.0,5.258,31,1
181.0,5.295,32,1
182.0,5.262,42,0
182.0,5.253,37,0
182.0,5.25,25,0
181.0,5.26,30,0
180.0,5.263,99,1
180.0,5.259,37,0
180.0,5.269,65,0
179.0,5.275,46,0
180.0,5.292,25,1
180.0,5.272,30,1
178.0,5.307,35,0
176.0,4.776,118,2
177.0,4.785,50,1
177.0,4.776,122,0
177.0,4.783,36,0
195.0,5.306,302,4
191.0,5.282,73,0
191.0,5.271,50,0
191.0,5.259,61,1
191.0,5.279,39,1
191.0,4.853,103,1
191.0,4.864,51,0
194.0,5.304,252,2
193.0,5.312,78,1
248.0,5.662,26,0
192.0,5.777,31,0
193.0,4.794,30,0
195.0,4.832,38,1
200.0,5.876,27,0
188.0,4.397,53,0
185.0,4.243,28,1
180.0,5.076,25,0
193.0,5.29,229,1
192.0,5.299,84,0
192.0,5.306,63,0
191.0,5.277,137,0
190.0,4.817,30,0
190.0,4.832,86,0
191.0,4.897,246,1
191.0,4.894,156,2
191.0,5.284,79,0
191.0,5.272,41,0
191.0,5.286,93,0
191.0,5.259,29,0
190.0,4.866,68,0
190.0,4.819,77,0
190.0,4.862,136,0
190.0,4.883,37,0
189.0,4.96,68,1
189.0,4.9,80,0
189.0,4.823,60,0
189.0,4.477,37,1
189.0,4.5,32,0
190.0,4.868,83,1
188.0,4.79,25,0
189.0,4.443,25,0
189.0,4.39,25,0
188.0,4.42,40,0
189.0,4.884,39,0
188.0,4.829,79,0
188.0,4.83,34,2
188.0,4.884,163,1
188.0,4.86,136,0
188.0,4.83,82,2
188.0,4.902,58,1
189.0,4.908,55,1
188.0,4.887,35,1
187.0,4.365,69,1
187.0,4.398,116,0
187.0,4.434,42,0
187.0,4.319,44,0
187.0,4.815,98,0
187.0,4.811,80,1
187.0,4.8,74,0
187.0,4.821,44,0
187.0,4.798,46,0
187.0,4.802,36,0
187.0,4.768,31,1
187.0,4.303,39,0
186.0,4.299,36,0
187.0,4.307,46,2
186.0,4.334,57,1
188.0,4.844,37,0
187.0,4.349,78,1
187.0,4.324,96,1
186.0,4.79,74,1
187.0,4.786,67,0
187.0,4.782,38,0
187.0,4.786,43,0
186.0,4.8,28,0
185.0,4.8,115,0
185.0,4.794,109,1
184.0,4.793,43,0
184.0,4.802,47,0
185.0,4.811,71,0
185.0,4.778,133,2
185.0,4.782,69,0
185.0,4.764,29,0
186.0,4.794,48,1
185.0,4.768,29,0
184.0,4.817,145,1
183.0,5.25,47,0
184.0,4.801,101,2
184.0,4.786,91,1
183.0,4.824,46,1
183.0,5.125,33,1
183.0,4.81,90,0
182.0,4.808,27,0
182.0,5.258,50,0
183.0,4.81,47,0
181.0,4.881,43,0
181.0,4.825,74,0
181.0,5.278,48,0
181.0,4.816,62,0
181.0,4.826,25,0
182.0,5.266,27,0
182.0,5.259,44,0
170.0,3.862,84,0
171.0,3.811,78,0
170.0,3.828,138,1
171.0,3.881,47,0
171.0,3.827,64,0
171.0,3.829,162,1
171.0,4.252,71,0
171.0,4.25,41,0
171.0,4.253,50,0
172.0,4.293,45,0
171.0,4.274,34,0
171.0,4.267,50,0
170.0,3.849,96,2
169.0,4.251,83,0
169.0,4.262,47,0
169.0,4.257,52,0
170.0,3.882,25,1
170.0,4.255,27,0
170.0,4.264,30,0
170.0,4.262,36,0
181.0,5.253,59,1
178.0,4.594,35,0
76.0,3.48,26,1
176.0,4.772,48,1
176.0,4.77,40,2
176.0,4.773,62,0
175.0,4.288,179,4
174.0,4.305,77,0
175.0,4.281,232,0
175.0,4.295,67,0
174.0,4.804,33,0
174.0,4.297,196,0
174.0,4.297,97,0
174.0,4.299,255,4
174.0,4.295,91,0
173.0,3.953,104,1
172.0,3.974,36,0
173.0,4.3,196,3
173.0,4.295,81,1
173.0,4.288,248,1
173.0,4.296,85,0
173.0,4.281,451,2
173.0,4.287,137,0
171.0,3.913,121,1
171.0,3.936,39,0
172.0,4.275,160,3
172.0,4.301,79,1
172.0,4.29,201,0
172.0,4.294,74,1
172.0,4.273,379,3
172.0,4.274,120,1
170.0,3.846,30,2
170.0,3.813,26,0
170.0,3.901,210,2
171.0,3.909,49,0
170.0,3.858,441,3
171.0,3.857,70,0
170.0,4.284,184,4
171.0,4.289,58,0
171.0,4.286,206,2
171.0,4.309,37,0
171.0,4.281,384,3
171.0,4.272,70,2
169.0,4.297,30,0
170.0,3.849,26,0
169.0,4.315,38,0
169.0,4.294,26,0
169.0,4.272,45,1
169.0,3.817,27,0
169.0,3.872,210,3
170.0,3.882,57,0
169.0,3.855,472,8
170.0,3.856,105,0
170.0,4.272,177,2
169.0,4.289,83,1
169.0,4.295,157,0
169.0,4.291,58,0
169.0,4.284,296,2
169.0,4.273,89,2
168.0,3.818,37,1
168.0,4.265,27,0
168.0,3.871,198,2
168.0,3.883,75,1
168.0,4.277,167,2
168.0,4.27,79,0
168.0,4.29,201,2
169.0,4.271,75,1
168.0,4.272,299,3
168.0,4.27,100,2
176.0,4.376,59,2
177.0,4.803,33,0
177.0,4.786,28,0
176.0,4.798,30,0
176.0,4.303,51,0
175.0,4.289,47,0
183.0,4.804,62,0
180.0,4.846,44,3
165.0,3.807,30,0
165.0,3.8,32,0
165.0,3.799,28,0
165.0,3.806,97,0
176.0,4.572,39,0
179.0,4.841,37,0
169.0,3.298,25,1
153.0,5.334,31,0
167.0,3.822,26,0
167.0,3.801,27,0
167.0,3.778,37,0
