wala,wac,n0,k_term
256.0,7.978,42.0,40
219.0,4.875,77.0,75
219.0,5.622,1937.0,1854
218.0,6.005,12244.0,11470
219.0,6.508,16619.0,16284
219.0,6.882,11048.0,10652
219.0,7.344,828.0,808
219.0,8.06,56.0,54
218.0,4.9,451.0,427
217.0,5.517,5678.0,5514
217.0,5.933,23426.0,22607
218.0,6.475,13663.0,13288
218.0,6.901,6184.0,5957
219.0,7.309,288.0,280
217.0,4.859,546.0,511
217.0,5.545,7432.0,7237
216.0,5.914,35627.0,34504
217.0,6.437,13544.0,13198
218.0,6.894,6367.0,6229
280.0,7.287,605.0,596
314.0,7.799,52.0,48
316.0,8.875,32.0,32
218.0,4.9,324.0,302
216.0,5.613,7680.0,7223
216.0,5.942,37345.0,36718
216.0,6.459,18724.0,17903
217.0,6.908,6722.0,6507
217.0,7.413,590.0,580
215.0,8.25,119.0,115
215.0,4.972,571.0,537
216.0,5.556,6907.0,6384
216.0,5.931,52821.0,50726
217.0,6.427,23972.0,23062
216.0,6.882,6476.0,6181
216.0,7.33,810.0,794
307.0,8.25,25.0,25
224.0,4.964,681.0,608
215.0,5.524,4086.0,3881
214.0,5.908,44257.0,42916
214.0,6.354,35923.0,34336
215.0,6.854,12507.0,11826
216.0,7.365,1024.0,998
261.0,7.954,67.0,65
213.0,4.91,170.0,156
213.0,5.468,1902.0,1786
213.0,5.912,23997.0,22706
213.0,6.38,57323.0,54783
213.0,6.842,30118.0,29007
212.0,7.319,2689.0,2573
213.0,5.18,52.0,50
217.0,5.429,1307.0,1282
213.0,5.961,10669.0,10220
212.0,6.415,53166.0,50247
212.0,6.847,40559.0,39064
215.0,7.324,4828.0,4678
237.0,7.887,41.0,41
217.0,5.125,142.0,130
212.0,5.413,1982.0,1882
211.0,6.025,14888.0,14094
211.0,6.543,46634.0,45304
211.0,6.878,33078.0,31975
211.0,7.34,4115.0,4040
209.0,5.166,43.0,40
210.0,5.419,2293.0,2079
209.0,5.973,23766.0,22060
210.0,6.541,29647.0,28364
210.0,6.908,14741.0,14413
210.0,7.339,1583.0,1506
216.0,5.204,295.0,277
209.0,5.589,3410.0,3179
209.0,6.032,22103.0,21185
209.0,6.564,26112.0,25124
210.0,6.984,9296.0,9115
209.0,7.392,875.0,836
210.0,7.882,57.0,56
208.0,5.082,1966.0,1805
208.0,5.567,11512.0,10770
208.0,6.034,30392.0,28949
208.0,6.604,21191.0,20295
208.0,6.967,6679.0,6553
208.0,7.354,528.0,502
206.0,4.664,356.0,336
206.0,4.994,6964.0,6332
207.0,5.538,16924.0,15804
207.0,6.021,11989.0,11562
207.0,6.541,5678.0,5530
207.0,6.906,2592.0,2503
212.0,7.37,223.0,219
209.0,4.534,749.0,694
206.0,4.963,16394.0,14992
206.0,5.489,15316.0,14128
206.0,5.959,4542.0,4364
209.0,6.503,2832.0,2740
207.0,6.867,1262.0,1227
208.0,7.306,72.0,67
205.0,4.554,1166.0,1069
204.0,4.963,22947.0,21537
204.0,5.452,19709.0,18703
